x, y, z, t, confidence
771.0, 608.0, 9.0, 0.0, 16.2566
494.0, 174.0, 29.0, 0.0, 16.2645
243.0, 615.0, 11.0, 0.0, 16.2849
523.0, 269.0, 29.0, 0.0, 16.3147
631.0, 769.0, 24.0, 0.0, 16.3508
239.0, 1017.0, 0.0, 0.0, 16.3662
559.0, 143.0, 27.0, 0.0, 16.3845
465.0, 271.0, 29.0, 0.0, 16.3958
264.0, 436.0, 24.0, 0.0, 16.4371
585.0, 270.0, 29.0, 0.0, 16.4517
1.0, 687.0, 0.0, 0.0, 16.4786
193.0, 685.0, 29.0, 0.0, 16.5261
328.0, 406.0, 23.0, 0.0, 16.5777
448.0, 0.0, 15.0, 0.0, 16.6129
926.0, 1054.0, 22.0, 0.0, 16.6253
399.0, 635.0, 24.0, 0.0, 16.6257
800.0, 656.0, 17.0, 0.0, 16.6268
404.0, 428.0, 23.0, 0.0, 16.6272
562.0, 867.0, 15.0, 0.0, 16.6965
786.0, 0.0, 4.0, 0.0, 16.7093
1055.0, 934.0, 17.0, 0.0, 16.7421
335.0, 661.0, 23.0, 0.0, 16.7802
738.0, 662.0, 29.0, 0.0, 16.7851
961.0, 377.0, 25.0, 0.0, 16.7971
721.0, 496.0, 19.0, 0.0, 16.8085
663.0, 253.0, 29.0, 0.0, 16.8416
969.0, 549.0, 29.0, 0.0, 16.9252
740.0, 671.0, 10.0, 0.0, 16.9795
417.0, 752.0, 22.0, 0.0, 17.0227
769.0, 558.0, 29.0, 0.0, 17.0375
709.0, 223.0, 29.0, 0.0, 17.0449
304.0, 436.0, 20.0, 0.0, 17.1471
681.0, 933.0, 29.0, 0.0, 17.1746
418.0, 805.0, 14.0, 0.0, 17.2127
297.0, 659.0, 29.0, 0.0, 17.2656
0.0, 187.0, 5.0, 0.0, 17.2719
681.0, 1055.0, 23.0, 0.0, 17.2997
396.0, 807.0, 22.0, 0.0, 17.4136
604.0, 172.0, 29.0, 0.0, 17.436
520.0, 343.0, 23.0, 0.0, 17.4378
531.0, 387.0, 18.0, 0.0, 17.4656
727.0, 86.0, 11.0, 0.0, 17.5073
503.0, 0.0, 20.0, 0.0, 17.5554
178.0, 630.0, 20.0, 0.0, 17.5724
829.0, 758.0, 29.0, 0.0, 17.6053
722.0, 826.0, 22.0, 0.0, 17.627
186.0, 574.0, 21.0, 0.0, 17.7253
206.0, 624.0, 12.0, 0.0, 17.7429
790.0, 769.0, 24.0, 0.0, 17.767
544.0, 964.0, 29.0, 0.0, 17.857
675.0, 1006.0, 24.0, 0.0, 17.897
771.0, 463.0, 24.0, 0.0, 17.9658
785.0, 890.0, 19.0, 0.0, 18.0179
900.0, 1055.0, 23.0, 0.0, 18.0209
36.0, 839.0, 6.0, 0.0, 18.0693
579.0, 302.0, 24.0, 0.0, 18.1475
241.0, 643.0, 23.0, 0.0, 18.2491
671.0, 778.0, 19.0, 0.0, 18.2894
795.0, 953.0, 13.0, 0.0, 18.3062
267.0, 676.0, 23.0, 0.0, 18.4131
742.0, 706.0, 11.0, 0.0, 18.4403
1055.0, 263.0, 3.0, 0.0, 18.5323
362.0, 344.0, 29.0, 0.0, 18.6029
396.0, 776.0, 19.0, 0.0, 18.6352
488.0, 216.0, 29.0, 0.0, 18.6423
307.0, 670.0, 20.0, 0.0, 18.6425
794.0, 727.0, 29.0, 0.0, 18.668
835.0, 638.0, 29.0, 0.0, 18.7018
840.0, 590.0, 29.0, 0.0, 18.7152
478.0, 304.0, 24.0, 0.0, 18.757
470.0, 22.0, 0.0, 0.0, 18.8554
536.0, 556.0, 3.0, 0.0, 18.9488
842.0, 0.0, 29.0, 0.0, 18.9515
501.0, 784.0, 16.0, 0.0, 19.0441
431.0, 360.0, 14.0, 0.0, 19.0496
840.0, 471.0, 23.0, 0.0, 19.139
574.0, 965.0, 24.0, 0.0, 19.3315
390.0, 406.0, 19.0, 0.0, 19.5162
508.0, 754.0, 8.0, 0.0, 19.6585
105.0, 522.0, 15.0, 0.0, 19.7646
422.0, 874.0, 22.0, 0.0, 19.9689
853.0, 719.0, 26.0, 0.0, 20.1019
135.0, 867.0, 29.0, 0.0, 20.2032
571.0, 586.0, 16.0, 0.0, 20.3979
64.0, 590.0, 10.0, 0.0, 20.4743
116.0, 991.0, 15.0, 0.0, 20.5967
34.0, 924.0, 17.0, 0.0, 20.6848
380.0, 658.0, 8.0, 0.0, 20.6995
316.0, 898.0, 15.0, 0.0, 20.7835
351.0, 936.0, 24.0, 0.0, 20.823
465.0, 398.0, 29.0, 0.0, 20.8408
116.0, 655.0, 0.0, 0.0, 20.9706
59.0, 510.0, 0.0, 0.0, 20.9759
576.0, 378.0, 29.0, 0.0, 21.1604
339.0, 942.0, 15.0, 0.0, 21.2054
134.0, 922.0, 25.0, 0.0, 21.2104
591.0, 229.0, 22.0, 0.0, 21.2268
786.0, 0.0, 29.0, 0.0, 21.296
1006.0, 465.0, 29.0, 0.0, 21.354
149.0, 581.0, 3.0, 0.0, 21.4228
472.0, 512.0, 19.0, 0.0, 21.4509
377.0, 464.0, 8.0, 0.0, 21.458
325.0, 999.0, 24.0, 0.0, 21.492
130.0, 649.0, 20.0, 0.0, 21.4941
0.0, 522.0, 0.0, 0.0, 21.5099
550.0, 685.0, 15.0, 0.0, 21.5498
180.0, 257.0, 13.0, 0.0, 21.6319
81.0, 966.0, 0.0, 0.0, 21.6466
271.0, 689.0, 10.0, 0.0, 21.7414
528.0, 627.0, 4.0, 0.0, 21.8089
521.0, 794.0, 11.0, 0.0, 21.8676
619.0, 682.0, 6.0, 0.0, 21.8699
188.0, 503.0, 21.0, 0.0, 21.9067
259.0, 885.0, 12.0, 0.0, 21.9139
305.0, 130.0, 23.0, 0.0, 21.9261
568.0, 692.0, 5.0, 0.0, 21.929
646.0, 246.0, 24.0, 0.0, 21.931
916.0, 897.0, 25.0, 0.0, 21.9399
407.0, 625.0, 7.0, 0.0, 21.9664
426.0, 63.0, 18.0, 0.0, 21.9679
280.0, 893.0, 24.0, 0.0, 21.9705
557.0, 733.0, 7.0, 0.0, 21.9948
382.0, 28.0, 14.0, 0.0, 21.9977
0.0, 921.0, 9.0, 0.0, 22.0406
668.0, 723.0, 22.0, 0.0, 22.1288
653.0, 633.0, 12.0, 0.0, 22.1314
335.0, 799.0, 17.0, 0.0, 22.1456
248.0, 853.0, 23.0, 0.0, 22.171
308.0, 862.0, 25.0, 0.0, 22.1737
495.0, 588.0, 14.0, 0.0, 22.2313
857.0, 308.0, 27.0, 0.0, 22.2469
388.0, 817.0, 17.0, 0.0, 22.2617
147.0, 393.0, 29.0, 0.0, 22.2748
395.0, 440.0, 7.0, 0.0, 22.2758
167.0, 193.0, 19.0, 0.0, 22.3102
175.0, 286.0, 8.0, 0.0, 22.3453
952.0, 882.0, 29.0, 0.0, 22.3855
490.0, 453.0, 11.0, 0.0, 22.4086
366.0, 538.0, 19.0, 0.0, 22.4165
166.0, 346.0, 19.0, 0.0, 22.4178
482.0, 1028.0, 29.0, 0.0, 22.4451
545.0, 91.0, 29.0, 0.0, 22.4597
375.0, 768.0, 13.0, 0.0, 22.4707
192.0, 903.0, 17.0, 0.0, 22.4922
621.0, 354.0, 29.0, 0.0, 22.5318
258.0, 711.0, 11.0, 0.0, 22.566
305.0, 660.0, 9.0, 0.0, 22.5812
